TITLE_ID_NUMBER	TITLE	IMDB_TITLE	EPISODE_DATE	MOVIE_DATE	LENGTH	SHOTS_TOTAL	ASL	MAXIMUM_SL	STANDARD_DEVIATION	COMMENTS	DATE_SUBMITTED
962	(500) Days of Summer	(500) Days of Summer		2009	5434	940	5.78	116	7.10		13 January 2015
928	10 Things I Hate About You	10 Things I Hate About You		1999	5555	821	6.77	64	8.93		21 July 2014
966	3 Bad Men	3 Bad Men		1926	5445	1069	5.09	59	5.07	Intertitles were logged as if they were shots.	13 January 2015
927	Her Parents	Adventure Time	2011-01-24		642	204	3.15	16	2.53		21 July 2014
6	Captain Salty and the Submarine	Adventures of Ozzie & Harriet, The	1957-10-10		1303	145	8.99	54	10.00		13 August 2007
885	The Fall Guy	Adventures of Ozzie & Harriet, The	1952-10-24		1222	107	11.42	107	16.76		05 February 2014
886	Ricky, the Drummer	Adventures of Ozzie & Harriet, The	1957-04-10		1262	180	7.01	42	7.07		05 February 2014
771	All I Desire	All I Desire		1953	4646	383	12.13	99	13.14		03 October 2013
19	All My Children, 20051206, Part 1	All My Children	2005-12-06		234	42	5.57	19	4.10		25 January 2008
910	One Hundred Tears Away	Ally McBeal	1997-10-20		2645	551	4.80	108	8.45		12 March 2014
911	The Promise	Ally McBeal	1997-10-27		2644	654	4.04	182	7.78		12 March 2014
912	The Attitude	Ally McBeal	1997-11-03		2671	640	4.17	94	5.37		12 March 2014
913	Drawing the Lines	Ally McBeal	1997-11-10		2731	647	4.22	85	4.98		12 March 2014
662	Public Equity - Republican SPAC	American Crossroads	2012-05-29		66	24	2.75	9	2.23		01 June 2012
527	Jailbreak	Andy Griffith Show, The	1962-02-05		1546	189	8.18	79	10.67		02 November 2011
887	Andy Discovers America	Andy Griffith Show, The	1963-03-04		1457	185	7.88	103	11.43		05 February 2014
888	Mountain Wedding	Andy Griffith Show, The	1963-04-29		1454	199	7.31	69	8.49		05 February 2014
890	A Feud Is a Feud	Andy Griffith Show, The	1960-12-05		1412	146	9.67	58	10.04		11 February 2014
891	Christmas Story	Andy Griffith Show, The	1960-12-19		1475	141	10.46	125	16.36		11 February 2014
892	Stranger in Town	Andy Griffith Show, The	1960-12-26		1451	180	8.06	67	10.57		11 February 2014
893	Mayberry Goes Hollywood	Andy Griffith Show, The	1961-01-02		1471	186	7.91	61	9.71		11 February 2014
894	The Horse Trader	Andy Griffith Show, The	1961-01-09		1438	183	7.86	53	8.23		11 February 2014
895	Those Gossipin' Men	Andy Griffith Show, The	1961-01-16		1450	183	7.92	51	8.68		11 February 2014
896	The Beauty Contest	Andy Griffith Show, The	1961-01-23		1457	189	7.71	57	8.54		11 February 2014
403	Apartment, The	Apartment, The		1960	7402	455	16.27	158	19.67		13 October 2009
859	Apocalypse Now (Part 1)	Apocalypse Now (Part 1)		1979	5956	828	7.19	87	8.82		23 January 2014
860	Apocalypse Now (Part 2)	Apocalypse Now (Part 1)		1979	5552	722	7.69	80	8.33		23 January 2014
848	Arizona	Arizona		1931	3911	383	10.21	84	10.49		15 January 2014
528	Key Decisions	Arrested Development	2003-11-23		1263	99	12.76	51	11.20		02 November 2011
45	As the World Turns, 20080114, Part 1	As the World Turns	2008-01-14		303	62	4.89	14	3.03	Part 1 of 6. No commercials.	25 January 2008
46	As the World Turns, 20080114, Part 2	As the World Turns	2008-01-14		323	69	4.68	16	3.28	Part 2 of 6. No commercials.	25 January 2008
57	As the World Turns, 20080114, Part 3	As the World Turns	2008-01-14		453	94	4.82	19	3.08		01 February 2008
48	As the World Turns, 20080114, Part 4	As the World Turns	2008-01-14		354	76	4.66	13	2.83	Part 4 of 6. No commercials.	25 January 2008
49	As the World Turns, 20080114, Part 5	As the World Turns	2008-01-14		371	71	5.23	27	4.14	Part 5 of 6. No commercials.	25 January 2008
50	As the World Turns, 20080114, Part 6	As the World Turns	2008-01-14		410	67	6.12	32	5.60	Part 6 of 6. No commercials.	25 January 2008
